Urban area,State,Population,Housing,Land area (square miles)
Walnut Ridge, AR,"6,540","2,986",5.2
Walterboro, SC,"9,229","4,246",8.1
Wamego, KS,"4,899","2,079",2.3
Wapakoneta, OH,"10,849","4,774",5.6
Wapato, WA,"7,071","1,995",2.6
Ware, MA,"5,662","2,828",3.2
Warner Robins, GA,"141,132","58,015",88.3
Warren, AR,"5,278","2,590",6.4
Warren, PA,"14,294","7,159",7.8
Warrensburg, MO,"19,934","8,557",8.5
Warrenton, MO,"9,398","4,018",6
Warrenton_New Baltimore, VA,"24,437","8,916",17.2
Warsaw, IN,"29,904","12,541",23.7
Warwick, NY,"7,084","3,394",2.9
Wasco, CA,"22,235","6,271",3.4
Waseca, MN,"9,211","3,808",3.8
Washington Court House, OH,"15,029","6,920",7.3
Washington, IA,"6,846","3,035",3.3
Washington, IN,"12,920","5,559",6.8
Washington, MO,"14,616","6,620",7.9
Washington, NC,"16,509","8,268",16.7
Washington, NJ,"10,138","4,308",4.1
Washington_Arlington, DC_VA_MD,"5,174,759","2,042,623",1294.5
Wasilla_Knik_Fairview_North Lakes, AK,"53,444","20,504",57.6
Waterbury, CT,"199,317","83,605",92.4
Waterford, CA,"9,746","2,922",2
Waterloo, IA,"114,139","51,470",63.7
Waterloo, IL,"9,933","4,305",5.4
Watertown, NY,"51,832","23,084",32
Watertown, SD,"20,643","9,805",12.4
Watertown, WI,"22,712","9,767",10.5
Waterville, ME,"25,529","12,264",16.9
Watford City, ND,"6,687","3,796",8.3
Watseka, IL,"4,671","2,444",2.9
Watsonville, CA,"68,668","19,042",14.7
Wauchula, FL,"9,790","3,931",6.2
Waupaca, WI,"8,293","4,379",8.9
Waupun, WI,"11,673","3,889",4.4
Wausau, WI,"77,429","34,753",48.7
Wauseon, OH,"7,623","3,204",5.1
Waverly, IA,"9,159","3,661",5.6
Waverly, OH,"4,969","2,683",4
Waycross, GA,"24,985","11,144",24.9
Wayland, MI,"4,957","2,007",3.4
Wayne, NE,"5,980","2,325",3.1
Waynesboro, GA,"6,103","2,701",5.9
Waynesboro, PA_MD,"22,267","10,184",11
Waynesburg, PA,"8,754","3,117",4
Waynesville, NC,"24,285","14,359",27.6
Weatherford, OK,"12,076","5,519",6.3
Weatherford, TX,"48,112","19,274",38.7
Webster City, IA,"7,606","3,642",4.4
Weiser, ID_OR,"5,599","2,332",2.4
Wellington, CO,"11,071","3,936",3.2
Wellington, KS,"7,398","3,565",4.4
Wellington, OH,"4,783","2,160",2.8
Wellston, OH,"5,655","2,604",4
Wellsville, NY,"5,339","2,667",3.6
Wenatchee, WA,"78,142","30,561",32.6
Wendell, NC,"8,915","3,358",4.2
West Bend, WI,"34,552","15,486",17.1
West Columbia, TX,"5,888","2,537",3.7
West Frankfort, IL,"7,935","4,110",4.7
West Jefferson_Lake Darby, OH,"8,828","3,391",5.1
West Milford, NJ_NY,"17,659","8,193",14.2
West Milton, OH,"4,646","2,117",2
West Plains, MO,"11,852","5,579",10.3
West Point, MS,"8,134","3,807",6.5
West Point_Highland Falls, NY,"12,156","3,256",3.9
West Salem, WI,"5,557","2,466",3.2
West Wendover, NV_UT,"5,238","1,957",7.4
Westerly, RI_CT,"30,955","17,606",25.7
Westminster, MD,"40,040","15,792",26.4
Weston, WV,"4,430","2,346",2
Westville, IN,"5,189","1,099",2.1
Wetumpka, AL,"6,488","2,510",4.4
Wharton, TX,"8,526","3,907",4.7
Wheeling, WV_OH,"57,695","30,319",36.8
White House, TN,"15,587","6,077",12.9
White Rock, NM,"5,169","2,131",2.1
Whitefish, MT,"7,898","4,733",6.2
Whitehall, MI,"8,678","4,196",8.6
Whitehouse, TX,"9,139","3,272",5.2
Whiteman AFB_Knob Noster, MO,"5,577","2,264",7.3
Whiteville, NC,"5,216","2,613",4.9
Whitewater, WI,"14,544","5,300",4.6
Wichita Falls, TX,"97,039","42,923",50.8
Wichita, KS,"500,231","214,740",226.8
Wickenburg, AZ,"4,801","2,826",4.7
Wildwood, FL,"13,899","5,717",12.8
Wilkesboro_North Wilkesboro, NC,"19,890","9,160",33.3
Willard, MO,"6,854","2,604",8.7
Willard, OH,"6,666","2,966",3.6
Williams, CA,"5,558","1,767",2
Williamsburg, KY,"6,365","2,395",5.2
Williamsburg, VA,"89,585","38,974",69.9
Williamsport, PA,"55,344","25,810",27.7
Williamston, MI,"4,850","2,181",3.2
Williamston, NC,"5,522","2,815",4.8
Williamston, SC,"10,350","4,446",10.2
Willimantic, CT,"24,332","9,723",12.8
Williston, ND,"29,510","14,641",21.9
Willits, CA,"7,552","3,162",4.4
Willmar, MN,"21,586","8,853",13.2
Willows, CA,"7,578","2,960",2.7
Wilmington, IL,"6,388","2,836",3.9
Wilmington, NC,"255,329","126,576",142.2
Wilmington, OH,"12,546","5,625",9.5
Wilmore, KY,"5,727","1,861",1.8
Wilson, NC,"48,326","22,724",27.7
Winchendon, MA,"4,866","2,122",2.3
Winchester, IN,"4,797","2,348",2.9
Winchester, KY,"26,253","11,608",14.4
Winchester, TN,"12,702","6,016",12.9
Winchester, VA,"83,377","33,248",42.2
Wind Lake, WI,"4,856","2,070",3.5
Winder, GA,"50,189","17,820",51.7
Winfield, KS,"11,617","5,173",7
Winnemucca, NV,"10,546","4,664",7.2
Winnfield, LA,"4,671","2,341",4.5
Winnsboro, LA,"5,142","2,195",3.2
Winnsboro, SC,"4,710","2,399",3.9
Winona, MN,"29,633","13,461",13.3
Winslow, AZ,"7,667","3,320",3.6
Winsted, CT,"7,804","4,289",6.1
Winston_Salem, NC,"420,924","187,144",310.8
Winter Haven, FL,"253,251","112,523",142.7
Winters, CA,"7,073","2,528",1.6
Winterset, IA,"5,077","2,359",2.3
Wisconsin Rapids, WI,"29,550","13,972",21.8
Wise_Norton, VA,"8,913","4,452",10.9
Woodburn, OR,"27,577","8,921",7.6
Woodlake, CA,"7,514","2,263",1.9
Woodland Park, CO,"11,548","5,647",9.3
Woodland, CA,"61,133","21,666",12.8
Woodland, WA,"7,217","2,593",4.4
Woodmont, GA,"6,673","2,281",5.2
Woodstock, IL,"25,298","10,243",9.3
Woodstock, VA,"5,852","2,572",3.9
Woodward, OK,"11,458","5,737",9.1
Wooster, OH,"32,449","14,287",21.7
Worcester, MA_CT,"482,085","196,132",260.3
Worland, WY,"4,889","2,525",3
World Golf Village, FL,"19,679","7,492",13.9
Worthington, MN,"13,800","4,710",5.5
Worth_Lexington, MI,"3,310","3,668",4.2
Wrightwood, CA,"3,927","2,208",1.4
Wynne, AR,"7,564","3,383",5.5
Wytheville, VA,"7,154","3,784",6
Xenia, OH,"26,614","11,923",11.4
Yakima, WA,"133,145","51,147",55.8
Yankton, SD,"16,022","7,072",8.5
Yauco, PR,"63,885","30,548",34.9
Yazoo City, MS,"15,060","4,931",9.2
Yelm, WA,"14,924","5,099",7.7
Yoakum, TX,"5,598","2,473",3.2
York, NE,"7,968","3,735",4.7
York, PA,"238,549","97,643",113.1
York, SC,"8,631","3,573",6.5
Youngstown, OH,"320,901","153,376",196
Yreka, CA,"7,617","3,591",5.3
Yuba City, CA,"125,706","42,911",30
Yucca Valley, CA,"18,293","8,224",11.3
Yuma, AZ_CA,"135,717","70,358",53
Zachary, LA,"16,600","6,388",11.4
Zanesville, OH,"42,301","20,014",28.3
Zapata_Medina, TX,"10,942","4,642",5
Zebulon, NC,"8,158","3,149",6.1
Zephyrhills, FL,"55,133","32,009",34.1
Zimmerman, MN,"6,360","2,345",3.3
